Date,Set,Color 1,Splash 1,Color 2,Splash 2,Win,Draw,Loss,Format,Location,Link
2/26/2016,OGW,BR,,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/2-26-16-ogw-booster-draft/
4/3/2016,SOI,WR,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/4-3-16-soi-pre-release/
4/8/2016,SOI,BR,,,,1,1,1,Draft,LGS,https://tappedout.net/mtg-decks/4-8-16-soi-booster-draft/
7/15/2016,EMN,WG,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/7-15-16-emn-pre-release/
9/2/2016,CN2,UR,,,,,,,Draft,Home,https://tappedout.net/mtg-decks/9-2-16-cn2-home-booster-draft/
9/11/2016,CN2,UB,,,,,,,Draft,Home,https://tappedout.net/mtg-decks/9-11-16-cn2-home-booster-draft/
9/25/2016,KLD,WR,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/9-25-16-kld-pre-release/
10/14/2016,KLD,WU,,,,1,1,1,Draft,LGS,https://tappedout.net/mtg-decks/10-14-16-kld-booster-draft/
11/19/2016,KLD,UG,,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/11-19-16-kld-booster-draft/
1/6/2017,KLD,RG,,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/1-6-17-kld-booster-draft/
1/14/2017,AER,WU,B,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/1-14-17-aer-pre-release/
1/27/2017,AER,BG,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/1-27-17-aer-booster-draft/
3/12/2017,CN2,UBG,,,,,,,Draft,Home,https://tappedout.net/mtg-decks/3-12-17-cn2-home-booster-draft/
4/14/2017,AER,BR,,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/4-14-17-aer-booster-draft/
4/23/2017,AKH,BG,R,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/4-23-17-akh-pre-release/
6/10/2017,AKH,UB,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/6-10-17-akh-booster-draft/
6/23/2017,AKH,WR,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/6-23-17-akh-booster-draft/
6/30/2017,AKH,UG,,,,1,1,1,Draft,LGS,https://tappedout.net/mtg-decks/6-30-17-akh-booster-draft/
7/9/2017,HOU,WRG,,,,2,1,1,Sealed,LGS,https://tappedout.net/mtg-decks/7-9-17-hou-pre-release/
7/14/2017,HOU,WBR,,,,1,0,2,Draft,LGS,https://tappedout.net/mtg-decks/7-14-17-hou-booster-draft/
7/28/2017,HOU,WB,,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/7-28-17-hou-booster-draft/
8/5/2017,HOU,WB,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/8-5-17-hou-booster-draft/
8/11/2017,HOU,BG,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/8-11-17-hou-booster-draft/
9/1/2017,HOU,WB,,,,1,0,2,Draft,LGS,https://tappedout.net/mtg-decks/9-1-17-hou-booster-draft/
9/15/2017,HOU,RG,,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/9-15-17-hou-booster-draft/
9/23/2017,XLN,WB,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/09-23-17-xln-prerelease/
10/6/2017,XLN,WR,,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/10-06-17-xln-booster-draft/
10/13/2017,XLN,BG,R,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/10-13-17-xln-booster-draft/
10/27/2017,XLN,WB,,,,1,1,1,Draft,LGS,https://tappedout.net/mtg-decks/10-27-17-xln-booster-draft/
11/3/2017,XLN,BG,R,,,0,0,3,Draft,LGS,https://tappedout.net/mtg-decks/11-03-17-xln-booster-draft/
11/25/2017,XLN,WB,,,,2,0,1,Draft,Home,https://tappedout.net/mtg-decks/11-25-17-xln-home-booster-draft/
12/8/2017,UNS,UB,,,,2,0,0,Draft,LGS,https://tappedout.net/mtg-decks/12-08-2017-uns-booster-draft/
1/14/2018,RIX,WR,,,,1,0,3,Sealed,LGS,https://tappedout.net/mtg-decks/1-14-18-rix-pre-release/
1/19/2018,RIX,UBR,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/01-19-18-rix-booster-draft/
1/20/2018,RIX,WB,,,,1,1,2,Sealed,Home,https://tappedout.net/mtg-decks/1-20-18-rix-sealed/
1/29/2018,CN2,WUBRG,,,,,,,Draft,Home,https://tappedout.net/mtg-decks/1-29-18-cn2-home-booster-draft/
2/2/2018,RIX,BR,U,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/02-02-18-rix-booster-draft/
2/9/2018,RIX,UG,,,,1,1,1,Draft,LGS,https://tappedout.net/mtg-decks/2-9-18-rix-booster-draft/
2/16/2018,RIX,UB,R,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/2-16-18-rix-booster-draft/
3/10/2018,CHAOS,UR,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/3-10-18-chaos-booster-draft/
3/11/2018,EMN,BR,,,,3,0,0,Draft,Home,https://tappedout.net/mtg-decks/3-11-18-emn-home-booster-draft/
4/21/2018,DOM,UBG,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/04-21-18-dom-prerelease/
4/22/2018,DOM,WBR,,,,3,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/4-23-18-dom-pre-release/
4/27/2018,DOM,RG,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/4-27-18-dom-booster-draft/
5/11/2018,DOM,WU,,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/5-12-18-dom-booster-draft/
5/18/2018,DOM,WG,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/5-18-18-dom-booster-draft/
5/25/2018,DOM,WUB,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/5-25-18-dom-booster-draft/
7/8/2018,M19,UR,,,,1,0,3,Sealed,LGS,https://tappedout.net/mtg-decks/07-08-18-m19-prerelease/
7/13/2018,M19,UB,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/07-13-18-m19-booster-draft/
9/29/2018,GRN,WR,,,,3,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/09-29-18-gnr-pre-release-1/
9/29/2018,GRN,UR,B,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/09-29-18-gnr-pre-release-2/
9/30/2018,GRN,UB,,,,2,1,1,Sealed,LGS,https://tappedout.net/mtg-decks/09-30-18-gnr-pre-release-3/
10/5/2018,GRN,UB,R,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/10-05-18-gnr-booster-draft/
10/12/2018,GRN,UR,B,,,0,0,1,Draft,LGS,https://tappedout.net/mtg-decks/10-12-18-gnr-booster-draft/
10/19/2018,GRN,UR,B,,,1,0,2,Draft,LGS,https://tappedout.net/mtg-decks/10-19-18-gnr-booster-draft/
10/26/2018,GRN,WR,G,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/10-26-18-gnr-booster-draft/
1/19/2019,RNA,BR,,,,4,0,0,Sealed,LGS,https://tappedout.net/mtg-decks/01-19-19-rna-pre-release-1/
1/20/2019,RNA,WU,B,,,1,0,3,Sealed,LGS,https://tappedout.net/mtg-decks/01-20-19-rna-pre-release-3/
1/20/2019,RNA,WB,,BRG,G,2,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/01-20-19-rna-pre-release-2-2hg/
2/3/2019,RNA,WBR,,,,3,1,0,Sealed,Home,https://tappedout.net/mtg-decks/02-03-2019-rna-home-sealed/
4/28/2019,WAR,UR,B,,,3,1,0,Sealed,LGS,https://tappedout.net/mtg-decks/04-28-19-war-pre-release/
5/17/2019,WAR,UBR,,,,0,1,2,Draft,LGS,https://tappedout.net/mtg-decks/05-17-19-war-booster-draft/
5/28/2019,WAR,WR,B,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/05-28-19-war-booster-draft/
6/7/2019,WAR,UR,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/06-07-19-war-booster-draft/
6/11/2019,M19,WUG,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/6-11-19-m19-winston-draft/
6/18/2019,WAR,BR,,,,3,0,0,Draft,Home,https://tappedout.net/mtg-decks/06-18-19-war-home-draft/
7/1/2019,WAR ,UR,,,,0,0,2,Winston,Home,https://tappedout.net/mtg-decks/7-01-19-war-winston-draft/
7/6/2019,M20,WUR,,,,3,1,0,Sealed,LGS,https://tappedout.net/mtg-decks/7-06-19-m20-pre-release-1/
7/7/2019,M20,WUR,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/7-07-19-m20-pre-release-3/
7/7/2019,M20,BG,W,UR,G,2,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/07-7-19-m20-pre-release-2-2hg/
7/12/2019,M20,WBR,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/07-12-19-m20-booster-draft/
7/14/2019,WAR,UBR,,,,3,0,1,Sealed,Home,https://tappedout.net/mtg-decks/07-14-19-war-home-sealed/
7/19/2019,M20,UB,RG,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/07-19-19-m20-booster-draft/
7/19/2019,AKH,RG,,,,,,,Winston,LGS,https://tappedout.net/mtg-decks/7-19-19-akh-winston-draft/
7/26/2019,M20,RG,U,,,1,0,2,Draft,LGS,https://tappedout.net/mtg-decks/07-26-19-m20-booster-draft/
9/27/2019,ELD,BR,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/9-27-19-eld-pre-release-1/
9/29/2019,ELD,BR,,WBG,,2,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/9-29-19-eld-pre-release-2-2hg/
10/2/2019,ELD,WR,B,,,2,0,2,Draft,Home,https://tappedout.net/mtg-decks/10-02-19-eld-home-draft/
10/15/2019,ELD,BG,,,,1,0,1,Draft,LGS,https://tappedout.net/mtg-decks/10-15-19-eld-half-boost-draft/
1/19/2020,THB,BG,U,,,1,3,0,Sealed,LGS,https://tappedout.net/mtg-decks/1-19-20-thb-pre-release-2/
1/19/2020,THB,BG,U,WR,G,2,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/1-19-20-thb-pre-release-1-2hg/
2/2/2020,THB,WU,G,,,1,0,2,Draft,Home,https://tappedout.net/mtg-decks/2-02-20-thb-home-draft/
2/21/2020,THB,UB,G,,,1,1,1,Draft,LGS,https://tappedout.net/mtg-decks/2-21-20-thb-booster-draft/
5/9/2020,THB,UR,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/05-09-20-thb-3-way-winston/
5/15/2020,IKO,BG,W,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/05-15-20-iko-winston-draft/
5/16/2020,MB1,WU,R,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/05-16-20-mb1-winston-draft/
5/19/2020,IKO,WBG,,,,1,0,1,Sealed,Home,https://tappedout.net/mtg-decks/05-19-20-iko-home-pre-release/
5/23/2020,IKO,UBG,,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/05-23-20-iko-winston-draft/
5/25/2020,IKO,BRG,,,,2,0,5,Sealed,Home,https://tappedout.net/mtg-decks/05-25-20-iko-home-pre-release/
5/28/2020,MB1,UB,,,,1,0,1,Draft,Home,https://tappedout.net/mtg-decks/05-28-20-mb1-home-draft/
6/17/2020,MB1,UG,,,,0,0,3,Draft,Home,https://tappedout.net/mtg-decks/06-17-20-mb1-home-draft/
7/3/2020,M21,UG,,,,3,0,0,Draft,Home,https://tappedout.net/mtg-decks/07-02-20-m21-home-draft/
7/18/2020,CHAOS,UG,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/07-18-20-chaos-winston/
9/10/2020,BBD,WBRG,,,,,,,Draft,Home,https://tappedout.net/mtg-decks/09-10-20-bbd-home-draft/
9/19/2020,ZNR,BG,,,,1,1,1,Sealed,Home,https://tappedout.net/mtg-decks/09-19-20-znr-home-pre-release/
10/15/2020,ZNR,BG,,,,1,0,2,Sealed,Home,https://tappedout.net/mtg-decks/10-15-20-znr-home-sealed/
10/29/2020,ZNR,WRG,,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/10-29-20-znr-winston-draft/
12/4/2020,MH1,BR,W,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/12-04-20-mh1-winston-draft/
12/18/2020,ZNR,BRG,,,,,,,Sealed,Home,https://tappedout.net/mtg-decks/12-18-20-znr-sealed/
1/1/2021,ZNR,UR,,,,1,0,2,Winston,Home,https://tappedout.net/mtg-decks/1-01-21-znr-winston-draft/
1/29/2021,KHM,UG,R,,,2,0,1,Draft,Home,https://tappedout.net/mtg-decks/1-29-21-khm-home-draft/
2/11/2021,KHM,WR,B,,,1,0,2,Sealed,Home,https://tappedout.net/mtg-decks/2-11-21-khm-home-pre-release/
2/12/2021,KHM,RG,U,,,3,0,0,Draft,Home,https://tappedout.net/mtg-decks/2-12-21-khm-home-draft/
2/18/2021,KHM,RG,B,,,2,0,0,Sealed,Home,https://tappedout.net/mtg-decks/2-18-21-khm-home-pre-release/
2/24/2021,MH1,BG,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/2-24-21-mh1-winston-draft/
3/12/2021,MH1,WR,,,,1,0,1,Draft,Home,https://tappedout.net/mtg-decks/3-12-21-mh1-home-draft/
3/17/2021,MH1,UB,,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/3-17-21-mh1-winston-draft/
3/24/2021,ZNR,UB,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/3-24-21-znr-winston-draft/
3/31/2021,MH1,WG,UBR,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/3-31-21-mh1-winston-draft/
4/9/2021,TSR,WG,UBR,,,2,0,1,Draft,Home,https://tappedout.net/mtg-decks/4-9-21-tsr-home-draft/
4/13/2021,MH1,UB,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/4-13-21-mh1-winston-draft/
4/16/2021,STX,UR,,,,2,1,0,Sealed,Home,https://tappedout.net/mtg-decks/4-16-21-stx-home-sealed/
4/21/2021,STX,UG,,WR,,1,0,0,Sealed,Home,https://tappedout.net/mtg-decks/4-21-21-stx-home-thg/
4/23/2021,STX,UR,,,,1,1,1,Draft,Home,https://tappedout.net/mtg-decks/4-23-21-stx-home-draft/
5/11/2021,MH1,WB,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/5-11-21-mh1-winston-draft/
5/11/2021,STX,UG,,BG,,1,0,0,Winston,Home,https://tappedout.net/mtg-decks/5-11-21-stx-2hg-winston/
5/20/2021,TSR,UB,,,,1,0,1,Draft,Home,https://tappedout.net/mtg-decks/5-20-21-tsr-home-draft/
6/8/2021,STX,BG,W,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/6-8-21-stx-winston/
6/15/2021,MH1,BR,,,,1,0,2,Winston,Home,https://tappedout.net/mtg-decks/6-15-21-mh1-winston/
7/1/2021,MH2,BG,WR,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/7-1-21-mh2-winston-draft/
7/6/2021,MH2,UR,W,,,0,0,2,Winston,Home,https://tappedout.net/mtg-decks/7-6-21-mh2-winston-draft/
7/17/2021,AFR,UB,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/7-17-21-afr-sealed/
7/18/2021,AFR,BR,,WG,,3,0,0,Sealed,LGS,https://tappedout.net/mtg-decks/7-18-21-afr-sealed-2hg/
7/29/2021,MH2,UB,R,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/7-29-21-mh2-winston-draft/
7/30/2021,AFR,WG,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/7-30-21-afr-booster-draft/
8/17/2021,AFR,RG,B,,,3,0,0,Draft,Home,https://tappedout.net/mtg-decks/8-17-21-afr-home-draft/
8/27/2021,MSY1,UB,,,,0,0,2,Winston,Home,https://tappedout.net/mtg-decks/8-27-21-msy1-winston-draft/
9/17/2021,MID,UB,,,,1,0,3,Sealed,LGS,https://tappedout.net/mtg-decks/9-17-21-mid-sealed/
9/19/2021,MID,WU,,BG,R,3,0,0,Sealed,LGS,https://tappedout.net/mtg-decks/9-19-21-mid-sealed-2gh/
9/24/2021,MID,UR,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/9-24-21-mid-booster-draft/
9/24/2021,MH2,UG,,WR,B,0,0,1,Winston,Home,https://tappedout.net/mtg-decks/9-24-21-mh2-winston-2gh/
10/11/2021,MH2,UR,W,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/10-11-21-mh2-winston/
11/14/2021,VOW,UR,,WG,,0,0,3,Sealed,LGS,https://tappedout.net/mtg-decks/11-14-21-vow-sealed-2gh/
2/12/2022,NEO,WU,,,,1,0,3,Sealed,LGS,https://tappedout.net/mtg-decks/02-12-22-neo-pre-release/
2/13/2022,NEO,UR,,WB,,2,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/02-13-22-neo-pre-release-2gh/
4/24/2022,STR,WUB,,BRG,,1,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/04-24-22-str-2hg-pre-release/
4/24/2022,STR,WRG,U,WUB,,3,0,0,Sealed,LGS,https://tappedout.net/mtg-decks/04-24-22-str-2hg-pre-release-2/
3/25/2022,NEO,WU,B,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/03-25-22-neo-booster-draft/
4/23/2022,STR,UBR,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/04-23-22-str-pre-release/
6/4/2022,CLB,WU,,,,2,0,0,Sealed,Home,https://tappedout.net/mtg-decks/06-04-22-clb-home-sealed/
8/28/2022,2X2,WUR,,,,3,0,0,Draft,Home,https://tappedout.net/mtg-decks/08-28-22-2x2-home-draft/
9/3/2022,DMU,WBR,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/09-03-22-dmu-pre-release/
9/3/2022,DMU,UBG,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/09-03-22-dmu-pre-release-2/
9/4/2022,DMU,WUG,,WBR,,2,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/09-04-22-dmu-2hg-pre-release/
9/8/2022,DMU,WU,,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/09-0-22-dmu-winston-draft-1/
9/28/2022,DMU,BG,R,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/09-28-22-dmu-winston-draft/
1/13/2023,DMR,WR,,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/01-13-23-dmr-fnm-draft/
2/3/2023,ONE,RG,,,,3,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/02-03-22-one-pre-release/
2/5/2023,ONE,UB,,WG,,2,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/02-05-22-one-pre-release-2hg/
2/5/2023,ONE,RG,,WB,,1,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/02-05-22-one-pre-release-2hg-two/
